,name
0,Achieve+Academy--Oakland+Unified--0161259-0111476
1,ACORN+Woodland+Eleme--Oakland+Unified--0161259-6002273
2,Allendale+Elementary--Oakland+Unified--0161259-6001630
3,Alliance+Academy--Oakland+Unified--0161259-0112771
4,American+Indian+Publ--Oakland+Unified--0161259-6113807
5,American+Indian+Publ--Oakland+Unified--0161259-0114363
6,American+Indian+Publ--Oakland+Unified--0161259-0111856
7,ARISE+High--Oakland+Unified--0161259-0115238
8,ASCEND--Oakland+Unified--0161259-6118608
9,Aspire+Berkley+Mayna--Oakland+Unified--0161259-0109819
10,Aspire+College+Acade--Oakland+Unified--0161259-0128413
11,Aspire+ERES+Academy--Oakland+Unified--0161259-0120188
12,Aspire+Golden+State--Oakland+Unified--0161259-0118224
13,Aspire+Lionel+Wilson--Oakland+Unified--0161259-0130666
14,Aspire+Monarch+Acade--Oakland+Unified--0161259-6117568
15,Aspire+Triumph+Techn--Oakland+Unified--0161259-0130732
16,Bella+Vista+Elementa--Oakland+Unified--0161259-6001655
17,Bret+Harte+Middle--Oakland+Unified--0161259-6056998
18,Bridges+Academy--Oakland+Unified--0161259-6002075
19,Brookfield+Elementar--Oakland+Unified--0161259-6001663
20,Burckhalter+Elementa--Oakland+Unified--0161259-6001689
21,Carl+B%2E+Munck+Elemen--Oakland+Unified--0161259-6001697
22,Castlemont+High--Oakland+Unified--0161259-0125161
23,Chabot+Elementary--Oakland+Unified--0161259-6001648
24,Civicorps+Corpsmembe--Oakland+Unified--0161259-0115386
25,Claremont+Middle--Oakland+Unified--0161259-6057004
26,Cleveland+Elementary--Oakland+Unified--0161259-6001739
27,Coliseum+College+Pre--Oakland+Unified--0161259-0112797
28,Community+Day+High--Oakland+Unified--0161259-0106542
29,Community+Day+Middle--Oakland+Unified--0161259-0106559
30,Community+United+Ele--Oakland+Unified--0161259-0115204
31,Conservatory+of+Voca--Oakland+Unified--0161259-0132555
32,Crocker+Highlands+El--Oakland+Unified--0161259-6001754
33,Dewey+Academy--Oakland+Unified--0161259-0132688
34,Downtown+Charter+Aca--Oakland+Unified--0161259-0129635
35,East+Bay+Innovation--Oakland+Unified--0161259-0129932
36,East+Oakland+Leaders--Oakland+Unified--0161259-0100123
37,East+Oakland+Pride+E--Oakland+Unified--0161259-0115600
38,Edna+Brewer+Middle--Oakland+Unified--0161259-6057061
39,Emerson+Elementary--Oakland+Unified--0161259-6001812
40,EnCompass+Academy+El--Oakland+Unified--0161259-0102988
41,Epic+Charter--Oakland+Unified--0161259-0129403
42,Esperanza+Elementary--Oakland+Unified--0161259-6002190
43,Francophone+Charter--Oakland+Unified--0161259-0132514
44,Franklin+Elementary--Oakland+Unified--0161259-6001820
45,Fred+T%2E+Korematsu+Di--Oakland+Unified--0161259-0112813
46,Fremont+High--Oakland+Unified--0161259-0125716
47,Frick+Middle--Oakland+Unified--0161259-6057020
48,Fruitvale+Elementary--Oakland+Unified--0161259-6001838
49,Futures+Elementary--Oakland+Unified--0161259-0115576
50,Garfield+Elementary--Oakland+Unified--0161259-6001846
51,Gateway+to+College+a--Oakland+Unified--0161259-0119859
52,Glenview+Elementary--Oakland+Unified--0161259-6001853
53,Global+Family--Oakland+Unified--0161259-0115584
54,Grass+Valley+Element--Oakland+Unified--0161259-6001879
55,Greenleaf+Elementary--Oakland+Unified--0161259-0115618
56,Hillcrest+Elementary--Oakland+Unified--0161259-6001911
57,Home+and+Hospital+Pr--Oakland+Unified--0161259-0121376
58,Hoover+Elementary--Oakland+Unified--0161259-6057046
59,Horace+Mann+Elementa--Oakland+Unified--0161259-6001929
60,Howard+Elementary--Oakland+Unified--0161259-6001713
61,Independent+Study%2C+S--Oakland+Unified--0161259-6114011
62,International+Commun--Oakland+Unified--0161259-6118616
63,Joaquin+Miller+Eleme--Oakland+Unified--0161259-6001945
64,Kaiser+Elementary--Oakland+Unified--0161259-6001895
65,KIPP+Bridge+Academy--Oakland+Unified--0161259-0115014
66,La+Escuelita+Element--Oakland+Unified--0161259-6096523
67,Laurel+Elementary--Oakland+Unified--0161259-6001994
68,Learning+Without+Lim--Oakland+Unified--0161259-0115592
69,LIFE+Academy--Oakland+Unified--0161259-0130575
70,Lighthouse+Community--Oakland+Unified--0161259-0130633
71,Lighthouse+Community--Oakland+Unified--0161259-0108944
72,Lincoln+Elementary--Oakland+Unified--0161259-6002018
73,Lodestar%3A+A+Lighthou--Oakland+Unified--0161259-0134015
74,LPS+Oakland+R+%26+D+Ca--Oakland+Unified--0161259-0126748
75,Madison+Park+Academy--Oakland+Unified--0161259-6066450
76,Madison+Park+Academy--Oakland+Unified--0161259-6002182
77,Manzanita+Community--Oakland+Unified--0161259-6002042
78,Manzanita+SEED+Eleme--Oakland+Unified--0161259-0110247
79,Markham+Elementary--Oakland+Unified--0161259-6002059
80,Martin+Luther+King%2C--Oakland+Unified--0161259-6072235
81,McClymonds+High--Oakland+Unified--0161259-0110189
82,Melrose+Leadership+A--Oakland+Unified--0161259-6118640
83,MetWest+High--Oakland+Unified--0161259-0100701
84,MLK+%2F+Lafayette+Elem--Oakland+Unified--0161259-6001978
85,Montclair+Elementary--Oakland+Unified--0161259-6002083
86,Montera+Middle--Oakland+Unified--0161259-6057079
87,New+Highland+Academy--Oakland+Unified--0161259-6001903
88,Nonpublic%2C+Nonsectar--Oakland+Unified--0161259-0000001
89,North+Oakland+Commun--Oakland+Unified--0161259-6117972
90,Oakland+Charter+Acad--Oakland+Unified--0161259-6111660
91,Oakland+Charter+High--Oakland+Unified--0161259-0114868
92,Oakland+High--Oakland+Unified--0161259-0135905
93,Oakland+Internationa--Oakland+Unified--0161259-0115667
94,Oakland+Military+Ins--Oakland+Unified--0161259-0130617
95,Oakland+School+for+t--Oakland+Unified--0161259-3030772
96,Oakland+SOL+%28School--Oakland+Unified--0161259-0135210
97,Oakland+Technical+Hi--Oakland+Unified--0161259-0136051
98,Oakland+Unity+High--Oakland+Unified--0161259-0100065
99,Parker+Elementary--Oakland+Unified--0161259-6002091
100,Peralta+Elementary--Oakland+Unified--0161259-6002109
101,Piedmont+Avenue+Elem--Oakland+Unified--0161259-6002117
102,Ralph+J%2E+Bunche+High--Oakland+Unified--0161259-0118653
103,Reach+Academy--Oakland+Unified--0161259-0110239
104,Redwood+Heights+Elem--Oakland+Unified--0161259-6002141
105,Rise+Community--Oakland+Unified--0161259-0110262
106,Roosevelt+Middle--Oakland+Unified--0161259-6057087
107,ROOTS+International--Oakland+Unified--0161259-0112805
108,Roses+in+Concrete--Oakland+Unified--0161259-0131896
109,Rudsdale+Continuatio--Oakland+Unified--0161259-0130146
110,Sankofa+Academy--Oakland+Unified--0161259-0110254
111,Sequoia+Elementary--Oakland+Unified--0161259-6002174
112,Skyline+High--Oakland+Unified--0161259-0137943
113,Street+Academy+%28Alte--Oakland+Unified--0161259-0130179
114,Think+College+Now--Oakland+Unified--0161259-0100792
115,Thornhill+Elementary--Oakland+Unified--0161259-6002216
116,United+for+Success+A--Oakland+Unified--0161259-0112763
117,Urban+Promise+Academ--Oakland+Unified--0161259-6118657
118,Vincent+Academy--Oakland+Unified--0161259-0123711
119,West+Oakland+Middle--Oakland+Unified--0161259-0115626
120,Westlake+Middle--Oakland+Unified--0161259-6057095
121,Young+Adult+Program--Oakland+Unified--0161259-0121228
